Proteins,Eliot PAR, Eliot EXO,Clov PAR, Clov EXO,Tato PAR, Tato EXO,Samo PAR, Samo EXO,Flash PAR, Flash EXO,Gus 2 PAR, Gus 2 EXO, Fritz 2 PAR,Fritz 2 EXO,Tessa 2 PAR,Tessa 2 EXO,Fritz 1 PAR,Fritz 1 EXO,Tessa 1 PAR,Tessa 1 EXO,Gus 1 PAR,Gus 1 EXO
"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Leishmania infantum OX=5671 GN=LINF_320043700 PE=3 SV=1",3,0,28,0,53,0,25,0,10,0,4,0,5,0,60,0,4,0,5,0,3,0
"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Leishmania infantum OX=5671 GN=LINF_320043900 PE=3 SV=1",0,6,0,9,0,5,0,7,0,5,0,8,0,2,0,8,0,21,0,0,0,7
3-ketoacyl-CoA_reductase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330024300 PE=4 SV=1,39,2,28,2,39,0,35,0,42,7,62,14,36,8,62,10,58,3,41,11,84,13
3-ketoacyl-CoA_thiolase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_230014600 PE=3 SV=1,303,3,162,0,98,0,82,0,121,9,190,2,155,12,107,0,177,2,243,4,237,3
3-keto-dihydrosphingosine_reductase OS=Leishmania infantum OX=5671 GN=LINF_350008400 PE=3 SV=1,4,0,3,0,3,0,18,0,7,0,3,0,4,0,5,0,1,0,0,0,5,0
3-mercaptopyruvate sulfurtransferase OS=Leishmania infantum OX=5671 GN=MST PE=4 SV=1,5,2,5,0,8,0,2,0,9,2,11,7,5,0,7,0,15,0,13,0,8,2
3-methylcrotonoyl-CoA_carboxylase_beta_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_110011600 PE=4 SV=1,1,0,0,0,0,0,3,0,1,13,7,3,0,0,2,0,2,3,18,0,10,0
3'-nucleotidase/nuclease_-_putative OS=Leishmania infantum OX=5671 GN=LINF_120009100 PE=3 SV=1,0,11,0,0,0,5,5,7,0,18,0,19,0,16,0,0,0,4,0,10,0,5
3'-nucleotidase/nuclease_precursor_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310031300 PE=3 SV=1,0,10,0,0,0,0,3,0,0,18,0,32,0,16,0,3,0,4,0,9,0,7
3-oxoacyl-(Acyl-carrier_protein)_reductase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_240026500 PE=4 SV=1,7,0,4,0,5,0,4,0,9,0,3,0,4,0,5,0,8,0,8,0,7,0
3-oxoacyl-acyl_carrier_protein_synthase_ii_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330036500 PE=3 SV=1,12,0,16,0,14,0,12,0,14,0,14,0,15,0,9,0,17,0,15,0,14,0
40S ribosomal protein S12 OS=Leishmania infantum OX=5671 GN=LINF_130010600 PE=3 SV=1,20,15,25,5,28,4,32,3,31,11,21,15,25,7,20,0,21,0,21,6,18,5
40S ribosomal protein S14 OS=Leishmania infantum OX=5671 GN=LINF_280015200 PE=3 SV=1,25,12,19,19,16,40,14,30,18,28,21,16,22,28,19,14,16,9,14,38,18,13
40S ribosomal protein S14 OS=Leishmania infantum OX=5671 GN=LINF_300041700 PE=3 SV=1,17,0,16,0,10,39,10,0,11,28,14,17,16,28,12,0,14,0,7,35,14,15
40S ribosomal protein S2 OS=Leishmania infantum OX=5671 GN=LINF_320009600 PE=3 SV=1,72,77,70,121,60,155,56,121,68,112,65,65,73,102,60,46,60,86,55,66,46,42
40S ribosomal protein S24 OS=Leishmania infantum OX=5671 GN=S24E-1 PE=3 SV=1,25,34,24,40,21,70,26,48,26,42,16,31,25,44,23,26,30,40,24,43,19,28
40S ribosomal protein S25 OS=Leishmania infantum OX=5671 GN=RPS25 PE=2 SV=1,9,9,14,17,8,15,7,18,7,10,5,9,12,12,7,9,9,13,5,9,5,6
40S ribosomal protein S26 OS=Leishmania infantum OX=5671 GN=LINF_280010400 PE=3 SV=1,19,26,27,32,19,39,16,40,25,25,16,26,16,40,11,25,18,33,20,64,13,17
40S ribosomal protein S3a-1 OS=Leishmania infantum OX=5671 GN=LinJ35.0500 PE=3 SV=1,43,90,57,136,40,148,54,135,47,93,40,73,49,112,58,97,41,115,40,131,37,63
40S ribosomal protein S5 OS=Leishmania infantum OX=5671 GN=LINF_110015600 PE=1 SV=1,54,58,65,84,44,144,53,94,55,72,68,60,66,83,64,31,48,65,51,147,48,47
40S ribosomal protein S6 OS=Leishmania infantum OX=5671 GN=RPS6 PE=3 SV=1,30,74,26,121,21,109,18,105,25,75,25,59,18,73,17,77,19,94,16,103,18,57
40S ribosomal protein S7 OS=Leishmania infantum OX=5671 GN=LINF_010009200 PE=3 SV=1,8,74,23,182,11,227,20,155,12,91,18,69,24,118,23,66,16,189,12,141,16,62
40S ribosomal protein S8 OS=Leishmania infantum OX=5671 GN=LINF_240026900 PE=3 SV=1,21,51,27,105,19,86,19,69,17,55,21,49,16,61,19,72,20,102,20,61,17,41
40S ribosomal protein SA OS=Leishmania infantum OX=5671 GN=LinJ36.5570 PE=1 SV=1,81,40,60,41,57,72,75,50,64,48,52,41,80,43,61,27,63,41,65,43,68,25
40S_ribosomal_protein_S10_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360015600 PE=4 SV=1,18,9,21,49,17,42,19,33,17,15,18,10,19,23,16,12,19,12,19,20,15,6
40S_ribosomal_protein_S11_-_putative OS=Leishmania infantum OX=5671 GN=LINF_200021000 PE=3 SV=1,16,36,13,43,12,47,15,46,15,41,11,28,13,40,14,33,8,40,13,40,11,30
40S_ribosomal_protein_S13_-_putative OS=Leishmania infantum OX=5671 GN=LINF_190008800 PE=3 SV=1,29,46,31,122,26,85,20,99,30,42,27,44,29,92,23,64,28,68,24,105,22,35
40S_ribosomal_protein_S15_-_putative OS=Leishmania infantum OX=5671 GN=LINF_220009800 PE=3 SV=1,11,10,12,11,6,12,3,14,9,13,7,11,9,10,5,0,8,13,10,5,6,0
40S_ribosomal_protein_S15A_-_putative OS=Leishmania infantum OX=5671 GN=LINF_110017900 PE=3 SV=1,37,29,26,47,32,34,24,40,34,46,38,29,33,33,33,10,36,23,21,24,24,17
40S_ribosomal_protein_S16_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260013700 PE=3 SV=1,21,50,24,77,15,82,20,83,22,55,20,46,21,47,17,29,19,55,14,50,15,37
40S_ribosomal_protein_S17_-_putative OS=Leishmania infantum OX=5671 GN=LINF_280032800 PE=3 SV=1,17,41,24,86,8,117,29,75,11,45,10,44,21,77,14,24,18,90,14,94,8,27
40S_ribosomal_protein_S18_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360015100 PE=3 SV=1,23,30,28,61,21,67,12,77,22,29,17,27,22,35,15,21,22,31,22,32,14,17
40S_ribosomal_protein_S21_-_putative OS=Leishmania infantum OX=5671 GN=LINF_110013300 PE=3 SV=1,52,0,118,0,71,0,76,0,75,0,21,0,50,0,44,0,39,0,59,0,14,0
40S_ribosomal_protein_S23_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210018200 PE=3 SV=1,38,40,35,33,39,81,29,25,31,57,28,25,31,51,22,17,24,37,31,36,29,16
40S_ribosomal_protein_S27-1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_180011200 PE=3 SV=1,29,8,30,19,20,23,18,17,23,19,26,9,22,15,21,10,20,15,24,20,16,9
40S_ribosomal_protein_S3_-_putative OS=Leishmania infantum OX=5671 GN=LINF_150017600 PE=3 SV=1,61,97,71,182,62,144,54,157,59,100,40,80,61,95,49,79,51,213,55,110,49,69
40S_ribosomal_protein_S33_-_putative OS=Leishmania infantum OX=5671 GN=s33 PE=2 SV=1,12,0,11,0,6,0,3,0,9,5,10,0,8,0,4,0,8,0,11,5,7,0
40S_ribosomal_protein_S9_-_putative OS=Leishmania infantum OX=5671 GN=LINF_070012400 PE=3 SV=1,7,69,12,159,6,93,12,90,10,68,14,69,11,93,10,71,10,103,8,86,11,54
4-coumarate:coa ligase-like protein OS=Leishmania infantum OX=5671 GN=LINF_190015300 PE=4 SV=1,55,0,60,0,48,0,26,0,38,0,39,0,54,0,43,0,57,0,50,0,44,0
4-coumarate:coa ligase-like protein OS=Leishmania infantum OX=5671 GN=LINJ_19_0950 PE=4 SV=1,37,0,48,0,43,0,20,0,40,0,9,0,26,0,35,0,44,0,46,0,16,0
4-methyl-5(Beta-hydroxyethyl )-thiazole_monophosphate_synthesis_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300012900 PE=4 SV=1,21,0,23,0,27,0,29,0,32,3,30,5,28,0,42,0,26,0,21,0,22,0
50S_ribosome-binding_GTPase/Dynamin_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_220010300 PE=4 SV=1,2,0,0,0,2,0,2,0,0,0,1,0,2,0,1,0,4,0,1,0,2,0
50S_ribosome-binding_GTPase/Miro-like_protein /Ras_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320039600 PE=4 SV=1,4,6,6,0,6,0,4,0,5,0,5,0,5,0,8,0,9,0,9,4,6,0
5'-3'_exoribonuclease_A_-_putative OS=Leishmania infantum OX=5671 GN=LINF_060007900 PE=4 SV=2,18,0,19,0,15,0,11,0,11,0,15,0,20,2,18,0,24,7,24,0,12,0
5'-AMP-activated_protein_kinase_catalytic_subunit_alpha_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290027900 PE=4 SV=1,6,3,11,5,8,8,7,7,11,0,11,0,16,0,9,0,11,10,7,0,10,0
5-histidylcysteine_sulfoxide_synthase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290015200 PE=4 SV=1,9,19,52,6,7,18,26,9,22,30,12,16,22,26,20,0,9,26,13,15,7,5
5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase OS=Leishmania infantum OX=5671 GN=LINF_310005000 PE=3 SV=1,162,14,184,30,174,29,127,20,128,14,156,5,186,0,174,0,160,29,105,4,182,0
5-oxoprolinase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_180015800 PE=3 SV=1,4,0,12,0,3,0,6,0,7,0,3,2,4,0,4,0,5,4,10,0,11,0
60S acidic ribosomal protein P0 OS=Leishmania infantum OX=5671 GN=LINF_270020500 PE=3 SV=1,63,6,46,15,52,15,53,14,65,5,65,4,58,8,64,0,44,5,39,5,46,0
60S acidic ribosomal protein P2 OS=Leishmania infantum OX=5671 GN=LINF_150019500 PE=3 SV=1,34,2,23,0,31,8,35,4,33,6,30,0,43,2,31,0,42,4,34,4,25,0
60S ribosomal export protein NMD3 OS=Leishmania infantum OX=5671 GN=LINF_260014600 PE=3 SV=1,14,6,14,10,12,20,20,19,11,5,7,0,14,5,5,0,9,14,12,0,6,0
"60S ribosomal protein L11 (L5, L16) OS=Leishmania infantum OX=5671 GN=RPL11 PE=3 SV=1",28,46,30,81,21,72,23,73,25,45,22,38,24,57,24,27,20,72,25,55,21,40
60S ribosomal protein L18a OS=Leishmania infantum OX=5671 GN=LINF_320014400 PE=3 SV=1,31,65,35,106,27,146,29,128,28,77,33,71,34,81,31,45,31,191,28,101,31,61
60S ribosomal protein L27 OS=Leishmania infantum OX=5671 GN=LINF_320033900 PE=3 SV=1,15,52,14,68,13,84,12,77,15,45,13,50,17,56,13,56,13,65,9,84,15,34
60S ribosomal protein L29 OS=Leishmania infantum OX=5671 GN=LINF_360042500 PE=3 SV=1,7,0,8,0,2,0,2,0,6,0,3,0,3,0,3,0,2,0,6,0,2,0
60S ribosomal protein L30 OS=Leishmania infantum OX=5671 GN=LINF_350007500 PE=3 SV=1,28,17,26,27,11,31,17,23,11,34,19,12,32,21,20,15,18,21,18,25,21,13
60S ribosomal protein L32 OS=Leishmania infantum OX=5671 GN=LINF_350025500 PE=3 SV=1,8,41,25,42,17,58,15,27,16,44,14,33,21,57,13,19,13,30,17,29,13,10
60S ribosomal protein L32 OS=Leishmania infantum OX=5671 GN=RPL32 PE=3 SV=1,5,39,10,41,11,41,8,25,6,40,4,33,8,52,7,19,10,26,10,35,9,9
60S ribosomal protein L37 OS=Leishmania infantum OX=5671 GN=LINF_350056500 PE=3 SV=1,4,9,8,23,6,29,5,40,5,12,4,12,6,12,3,0,5,32,6,22,4,12
60S ribosomal protein L37a OS=Leishmania infantum OX=5671 GN=LINF_210028000 PE=3 SV=1,9,0,5,13,3,19,3,0,7,16,6,11,7,15,3,0,6,0,3,9,4,10
60S ribosomal protein L40 OS=Leishmania infantum OX=5671 GN=LINF_360011600 PE=3 SV=1,11,0,19,0,13,11,15,0,11,6,11,0,15,11,10,0,15,0,14,0,10,0
60S ribosomal protein L6 OS=Leishmania infantum OX=5671 GN=LINF_150018200 PE=3 SV=1,39,46,46,112,32,84,37,78,41,50,37,44,40,67,47,70,42,68,33,94,34,33
60S ribosomal protein L7a OS=Leishmania infantum OX=5671 GN=LINJ_07_0560 PE=3 SV=1,14,51,23,93,17,136,19,98,18,68,26,57,24,78,21,71,19,98,18,97,21,41
60S_acidic_ribosomal_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_150009100 PE=3 SV=1,28,0,34,0,33,0,28,0,29,0,32,0,32,0,30,0,28,0,29,0,29,0
60S_acidic_ribosomal_protein_P2_-_putative OS=Leishmania infantum OX=5671 GN=LINF_030009100 PE=3 SV=1,6,0,2,0,3,0,4,0,4,0,6,0,6,0,8,0,6,0,5,0,2,0
60S_acidic_ribosomal_protein_P2_-_putative OS=Leishmania infantum OX=5671 GN=LIP1 PE=3 SV=1,13,0,20,0,12,6,12,3,13,3,9,2,21,0,15,0,17,0,15,0,12,0
60S_ribosomal_protein_L10_-_putative OS=Leishmania infantum OX=5671 GN=LINF_040012600 PE=4 SV=1,20,67,19,93,17,93,27,93,17,77,21,56,23,84,25,53,17,107,19,98,15,61
60S_ribosomal_protein_L10a_-_putative OS=Leishmania infantum OX=5671 GN=RPL10a PE=3 SV=1,14,31,32,34,19,59,30,54,18,42,25,25,24,61,22,20,16,48,20,56,21,16
60S_ribosomal_protein_L12_-_putative OS=Leishmania infantum OX=5671 GN=LINF_240028300 PE=3 SV=1,17,0,12,0,10,0,14,0,18,0,18,0,18,0,18,0,13,0,13,0,12,0
60S_ribosomal_protein_L13_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290032300 PE=3 SV=1,47,74,57,104,49,181,53,103,55,79,51,71,53,123,55,72,49,72,51,120,44,47
60S_ribosomal_protein_L13a_-_putative OS=Leishmania infantum OX=5671 GN=LINF_150007100 PE=3 SV=1,17,71,22,98,16,123,27,104,22,81,20,64,19,97,28,58,21,113,18,107,19,57
60S_ribosomal_protein_L17_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320009400 PE=3 SV=1,0,25,0,59,0,92,0,104,0,27,0,36,0,70,0,41,0,76,0,165,0,26
60S_ribosomal_protein_L18_-_putative OS=Leishmania infantum OX=5671 GN=RPL18 PE=3 SV=1,62,54,67,100,57,125,50,83,57,72,59,49,70,68,60,63,59,86,57,98,60,40
60S_ribosomal_protein_L2_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320046200 PE=4 SV=1,45,49,54,149,39,85,49,66,44,79,46,62,55,108,34,43,34,68,47,88,31,44
60S_ribosomal_protein_L22_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360041100 PE=3 SV=1,0,8,0,17,0,19,0,19,0,5,0,2,0,15,0,7,0,7,0,25,0,2
60S_ribosomal_protein_L23_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350043300 PE=3 SV=1,24,33,27,43,23,42,21,56,17,35,27,23,32,47,29,29,21,23,19,56,21,24
60S_ribosomal_protein_L23a_-_putative OS=Leishmania infantum OX=5671 GN=LINF_060011300 PE=3 SV=1,6,0,12,0,5,0,10,0,7,0,11,0,15,0,15,0,9,0,11,0,11,0
60S_ribosomal_protein_L23a_-_putative OS=Leishmania infantum OX=5671 GN=LINF_060011400 PE=3 SV=1,0,26,0,73,0,76,0,56,0,31,0,22,0,50,0,26,0,52,0,35,0,19
60S_ribosomal_protein_L26_-_putative OS=Leishmania infantum OX=5671 GN=LINF_240026700 PE=3 SV=1,8,25,19,36,11,72,12,72,10,32,12,27,9,41,13,50,9,38,14,60,10,24
60S_ribosomal_protein_L27A/L29_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350043000 PE=3 SV=1,23,24,26,127,22,57,21,51,22,25,27,23,24,33,17,34,19,52,22,44,21,18
60S_ribosomal_protein_L28_-_putative OS=Leishmania infantum OX=5671 GN=LINF_110017300 PE=3 SV=1,32,24,28,61,26,49,20,44,26,58,30,34,21,84,22,28,25,35,26,50,21,22
60S_ribosomal_protein_L34_-_putative OS=Leishmania infantum OX=5671 GN=LINF_180019400 PE=3 SV=1,16,14,12,30,9,37,13,21,8,22,8,20,11,27,10,24,6,24,15,19,9,16
60S_ribosomal_protein_L35_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260028800 PE=3 SV=1,8,18,12,11,7,91,8,30,7,18,6,28,7,40,8,0,8,11,8,44,7,22
60S_ribosomal_protein_L36_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350024100 PE=3 SV=1,8,17,11,31,7,27,9,28,5,16,6,17,8,13,10,20,14,21,13,17,8,14
60S_ribosomal_protein_L44_-_putative OS=Leishmania infantum OX=5671 GN=LINF_130022200 PE=3 SV=1,17,7,64,63,45,29,44,19,11,18,15,7,12,22,7,5,11,33,13,18,5,7
60S_ribosomal_protein_L5_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350023700 PE=3 SV=1,25,62,67,317,60,164,78,125,39,59,25,58,39,110,24,112,29,149,23,124,20,37
60S_ribosomal_protein_L7_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260006700 PE=3 SV=1,0,58,0,186,0,140,0,121,0,86,0,75,0,132,0,72,0,104,0,134,0,66
60S_ribosomal_protein_L9_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300039100 PE=3 SV=2,30,49,31,101,23,87,33,96,31,62,33,41,49,60,33,45,27,53,22,79,21,41
"6-phosphogluconate dehydrogenase, decarboxylating OS=Leishmania infantum OX=5671 GN=gnd PE=3 SV=1",66,22,50,0,84,5,47,4,84,25,62,31,71,17,77,0,79,18,58,13,81,17
6-phosphogluconolactonase OS=Leishmania infantum OX=5671 GN=LINF_260032900 PE=3 SV=1,25,5,25,0,25,0,23,0,22,5,28,7,23,0,22,0,25,0,22,0,38,2
AAA_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300017800 PE=4 SV=1,0,18,0,0,0,0,0,0,0,0,0,33,0,0,0,8,0,2,0,12,0,3
ABC_transport_system_ATP-binding_protein_-_putative OS=Leishmania infantum OX=5671 GN=putative ABCF2 PE=4 SV=1,8,8,12,0,8,10,4,16,9,7,7,6,9,4,7,0,9,0,7,5,6,0
ABC_transporter_-_mitochondrial_-_putative OS=Leishmania infantum OX=5671 GN=putative ABCB1 PE=4 SV=1,12,0,12,0,8,0,16,0,10,0,7,3,7,0,9,0,10,0,14,0,11,0
ABC1_family/Phosphotransferase_enzyme_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360070800 PE=3 SV=1,1,0,1,0,0,0,3,0,0,0,0,0,1,0,1,0,1,0,3,0,1,0
ABC1_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_080007300 PE=4 SV=1,3,0,2,0,1,0,2,0,7,0,1,0,1,0,0,0,2,0,4,0,1,0
Acetoin dehydrogenase e3 component-like protein OS=Leishmania infantum OX=5671 GN=LINF_310034600 PE=3 SV=1,8,0,4,0,9,0,2,0,3,3,16,2,7,6,8,0,14,2,6,0,16,2
Acetyl-CoA carboxylase OS=Leishmania infantum OX=5671 GN=LINF_310038500 PE=4 SV=1,55,49,73,44,86,101,49,67,56,64,43,29,77,101,41,0,55,140,61,29,53,26
Acetyl-coenzyme A synthetase OS=Leishmania infantum OX=5671 GN=LINF_230014800 PE=3 SV=1,141,83,117,45,63,32,81,68,62,50,74,61,113,55,37,8,69,41,115,65,86,39
Acetylornithine deacetylase OS=Leishmania infantum OX=5671 GN=LINF_070007900 PE=3 SV=1,8,0,9,0,11,0,8,0,9,0,7,0,10,0,9,0,18,0,13,0,6,0
Acetyltransferase_(GNAT)_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_220010000 PE=4 SV=1,4,0,3,0,4,0,2,0,3,0,1,0,4,0,4,0,4,0,2,0,2,0
Acetyltransferase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_030006100 PE=4 SV=1,0,2,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Acetyltransferase-like protein OS=Leishmania infantum OX=5671 GN=LINF_360035400 PE=4 SV=1,0,3,0,0,0,0,0,4,0,0,0,3,0,2,0,0,0,0,0,3,0,3
Acid_Phosphatase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330030500 PE=4 SV=1,2,0,1,0,1,0,2,0,3,0,2,0,3,0,1,0,2,0,1,0,2,0
Acidocalcisomal_exopolyphosphatase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_010008000 PE=4 SV=1,4,2,8,0,4,0,2,0,6,0,3,2,6,0,4,0,14,0,7,0,14,3
Aconitate hydratase OS=Leishmania infantum OX=5671 GN=LINF_180010100 PE=3 SV=1,170,39,180,8,201,13,178,17,188,66,149,34,203,17,154,0,272,43,165,18,137,20
Actin interacting protein-like protein OS=Leishmania infantum OX=5671 GN=LINF_230015900 PE=4 SV=1,19,0,11,0,5,0,4,0,10,0,5,0,6,0,3,0,8,0,16,0,7,0
Actin OS=Leishmania infantum OX=5671 GN=ACT PE=3 SV=1,73,22,81,13,67,16,58,24,81,29,105,38,81,31,116,15,155,27,78,40,91,25
