"","x"
"56","40S_ribosomal_protein_S21_-_putative OS=Leishmania infantum OX=5671 GN=LINF_110013300 PE=3 SV=1"
"57","40S_ribosomal_protein_S23_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210018200 PE=3 SV=1"
"58","40S_ribosomal_protein_S27-1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_180011200 PE=3 SV=1"
"59","40S_ribosomal_protein_S3_-_putative OS=Leishmania infantum OX=5671 GN=LINF_150017600 PE=3 SV=1"
"60","40S_ribosomal_protein_S33_-_putative OS=Leishmania infantum OX=5671 GN=s33 PE=2 SV=1"
"61","40S_ribosomal_protein_S9_-_putative OS=Leishmania infantum OX=5671 GN=LINF_070012400 PE=3 SV=1"
"62","4-coumarate:coa ligase-like protein OS=Leishmania infantum OX=5671 GN=LINF_190015300 PE=4 SV=1"
"63","4-coumarate:coa ligase-like protein OS=Leishmania infantum OX=5671 GN=LINJ_19_0950 PE=4 SV=1"
"64","4-methyl-5(Beta-hydroxyethyl )-thiazole_monophosphate_synthesis_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300012900 PE=4 SV=1"
"65","50S_ribosome-binding_GTPase/Miro-like_protein /Ras_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320039600 PE=4 SV=1"
"66","5'-3'_exoribonuclease_A_-_putative OS=Leishmania infantum OX=5671 GN=LINF_060007900 PE=4 SV=2"
"67","5'-AMP-activated_protein_kinase_catalytic_subunit_alpha_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290027900 PE=4 SV=1"
"68","5-histidylcysteine_sulfoxide_synthase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290015200 PE=4 SV=1"
"69","5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase OS=Leishmania infantum OX=5671 GN=LINF_310005000 PE=3 SV=1"
"70","5-oxoprolinase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_180015800 PE=3 SV=1"
"71","60S acidic ribosomal protein P0 OS=Leishmania infantum OX=5671 GN=LINF_270020500 PE=3 SV=1"
"72","60S acidic ribosomal protein P2 OS=Leishmania infantum OX=5671 GN=LINF_150019500 PE=3 SV=1"
"73","60S ribosomal export protein NMD3 OS=Leishmania infantum OX=5671 GN=LINF_260014600 PE=3 SV=1"
"74","60S ribosomal protein L11 (L5, L16) OS=Leishmania infantum OX=5671 GN=RPL11 PE=3 SV=1"
"75","60S ribosomal protein L18a OS=Leishmania infantum OX=5671 GN=LINF_320014400 PE=3 SV=1"
"76","60S ribosomal protein L27 OS=Leishmania infantum OX=5671 GN=LINF_320033900 PE=3 SV=1"
"77","60S ribosomal protein L29 OS=Leishmania infantum OX=5671 GN=LINF_360042500 PE=3 SV=1"
"78","60S ribosomal protein L30 OS=Leishmania infantum OX=5671 GN=LINF_350007500 PE=3 SV=1"
"79","60S ribosomal protein L32 OS=Leishmania infantum OX=5671 GN=LINF_350025500 PE=3 SV=1"
"80","60S ribosomal protein L32 OS=Leishmania infantum OX=5671 GN=RPL32 PE=3 SV=1"
"81","60S ribosomal protein L37 OS=Leishmania infantum OX=5671 GN=LINF_350056500 PE=3 SV=1"
"82","60S ribosomal protein L37a OS=Leishmania infantum OX=5671 GN=LINF_210028000 PE=3 SV=1"
"83","60S ribosomal protein L40 OS=Leishmania infantum OX=5671 GN=LINF_360011600 PE=3 SV=1"
"84","60S ribosomal protein L6 OS=Leishmania infantum OX=5671 GN=LINF_150018200 PE=3 SV=1"
"85","60S ribosomal protein L7a OS=Leishmania infantum OX=5671 GN=LINJ_07_0560 PE=3 SV=1"
"86","60S_acidic_ribosomal_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_150009100 PE=3 SV=1"
"87","60S_acidic_ribosomal_protein_P2_-_putative OS=Leishmania infantum OX=5671 GN=LINF_030009100 PE=3 SV=1"
"88","60S_acidic_ribosomal_protein_P2_-_putative OS=Leishmania infantum OX=5671 GN=LIP1 PE=3 SV=1"
"89","60S_ribosomal_protein_L10_-_putative OS=Leishmania infantum OX=5671 GN=LINF_040012600 PE=4 SV=1"
"90","60S_ribosomal_protein_L10a_-_putative OS=Leishmania infantum OX=5671 GN=RPL10a PE=3 SV=1"
"91","60S_ribosomal_protein_L12_-_putative OS=Leishmania infantum OX=5671 GN=LINF_240028300 PE=3 SV=1"
"92","60S_ribosomal_protein_L13_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290032300 PE=3 SV=1"
"93","60S_ribosomal_protein_L13a_-_putative OS=Leishmania infantum OX=5671 GN=LINF_150007100 PE=3 SV=1"
"94","60S_ribosomal_protein_L18_-_putative OS=Leishmania infantum OX=5671 GN=RPL18 PE=3 SV=1"
"95","60S_ribosomal_protein_L2_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320046200 PE=4 SV=1"
"96","60S_ribosomal_protein_L23_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350043300 PE=3 SV=1"
"97","60S_ribosomal_protein_L23a_-_putative OS=Leishmania infantum OX=5671 GN=LINF_060011300 PE=3 SV=1"
"98","60S_ribosomal_protein_L26_-_putative OS=Leishmania infantum OX=5671 GN=LINF_240026700 PE=3 SV=1"
"99","60S_ribosomal_protein_L27A/L29_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350043000 PE=3 SV=1"
"100","60S_ribosomal_protein_L28_-_putative OS=Leishmania infantum OX=5671 GN=LINF_110017300 PE=3 SV=1"
"101","60S_ribosomal_protein_L34_-_putative OS=Leishmania infantum OX=5671 GN=LINF_180019400 PE=3 SV=1"
"102","60S_ribosomal_protein_L35_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260028800 PE=3 SV=1"
"103","60S_ribosomal_protein_L36_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350024100 PE=3 SV=1"
"104","60S_ribosomal_protein_L44_-_putative OS=Leishmania infantum OX=5671 GN=LINF_130022200 PE=3 SV=1"
"105","60S_ribosomal_protein_L5_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350023700 PE=3 SV=1"
"106","60S_ribosomal_protein_L9_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300039100 PE=3 SV=2"
"107","6-phosphogluconate dehydrogenase, decarboxylating OS=Leishmania infantum OX=5671 GN=gnd PE=3 SV=1"
"108","6-phosphogluconolactonase OS=Leishmania infantum OX=5671 GN=LINF_260032900 PE=3 SV=1"
"109","ABC_transport_system_ATP-binding_protein_-_putative OS=Leishmania infantum OX=5671 GN=putative ABCF2 PE=4 SV=1"
"110","ABC_transporter_-_mitochondrial_-_putative OS=Leishmania infantum OX=5671 GN=putative ABCB1 PE=4 SV=1"
"111","ABC1_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_080007300 PE=4 SV=1"
"112","Acetoin dehydrogenase e3 component-like protein OS=Leishmania infantum OX=5671 GN=LINF_310034600 PE=3 SV=1"
"113","Acetyl-CoA carboxylase OS=Leishmania infantum OX=5671 GN=LINF_310038500 PE=4 SV=1"
"114","Acetyl-coenzyme A synthetase OS=Leishmania infantum OX=5671 GN=LINF_230014800 PE=3 SV=1"
"115","Acetylornithine deacetylase OS=Leishmania infantum OX=5671 GN=LINF_070007900 PE=3 SV=1"
"116","Acetyltransferase_(GNAT)_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_220010000 PE=4 SV=1"
"117","Acid_Phosphatase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330030500 PE=4 SV=1"
"118","Acidocalcisomal_exopolyphosphatase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_010008000 PE=4 SV=1"
"119","Aconitate hydratase OS=Leishmania infantum OX=5671 GN=LINF_180010100 PE=3 SV=1"
"120","Actin interacting protein-like protein OS=Leishmania infantum OX=5671 GN=LINF_230015900 PE=4 SV=1"
"121","Actin OS=Leishmania infantum OX=5671 GN=ACT PE=3 SV=1"
"122","Activator_of_Hsp90_ATPase_-_N-terminal/Activator_of_Hsp90_ATPase_homolog_1-like_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_180007100 PE=3 SV=1"
"123","Acyl_CoA_binding_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_170012700 PE=4 SV=1"
"124","Acyl_transferase-like_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350040100 PE=4 SV=2"
"125","Acyl-CoA_dehydrogenase_-_mitochondrial_precursor_-_putative OS=Leishmania infantum OX=5671 GN=LINF_070010000 PE=4 SV=1"
"126","Acyl-CoA_dehydrogenase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_280032300 PE=3 SV=1"
"127","Acyl-CoA_dehydrogenase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350032600 PE=3 SV=1"
"128","Acyl-CoA_oxidase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270030200 PE=3 SV=1"
"129","Acyltransferase-like protein, copy 1 OS=Leishmania infantum OX=5671 GN=LINF_040015500 PE=4 SV=1"
"130","Adaptin-related protein-like protein OS=Leishmania infantum OX=5671 GN=LINF_110015900 PE=3 SV=1"
"131","Adenine aminohydrolase OS=Leishmania infantum OX=5671 GN=AAH PE=3 SV=1"
"132","Adenine phosphoribosyltransferase OS=Leishmania infantum OX=5671 GN=APRT PE=4 SV=1"
"133","Adenosine kinase OS=Leishmania infantum OX=5671 GN=LINF_300014400 PE=3 SV=1"
"134","Adenosylhomocysteinase OS=Leishmania infantum OX=5671 GN=LINF_360048000 PE=3 SV=1"
"135","Adenylate kinase 2 OS=Leishmania infantum OX=5671 GN=LINF_340006200 PE=3 SV=1"
"136","Adenylate_kinase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_040014600 PE=3 SV=1"
"137","Adenylate_kinase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210020600 PE=3 SV=1"
"138","Adenylate_kinase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340006100 PE=3 SV=1"
"139","Adenylosuccinate lyase OS=Leishmania infantum OX=5671 GN=LINF_040009600 PE=3 SV=1"
"140","Adenylosuccinate synthetase OS=Leishmania infantum OX=5671 GN=LinJ13.1120 PE=3 SV=1"
"141","Adenylyl_cyclase-associated_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360065600 PE=3 SV=1"
"142","ADF/Cofilin OS=Leishmania infantum OX=5671 GN=LINF_290010100 PE=3 SV=1"
"143","ADP,ATP carrier protein 1, mitochondrial OS=Leishmania infantum OX=5671 GN=ANC2 PE=3 SV=1"
"144","ADP/ATP mitochondrial carrier-like protein OS=Leishmania infantum OX=5671 GN=LINF_140016000 PE=3 SV=1"
"145","ADP-ribosylation factor-like protein 1 OS=Leishmania infantum OX=5671 GN=ARL-1 PE=3 SV=1"
"146","ADP-ribosylation factor-like protein 6 OS=Leishmania infantum OX=5671 GN=LINF_160019600 PE=3 SV=1"
"147","ADP-ribosylation factor-like protein OS=Leishmania infantum OX=5671 GN=LINF_300029100 PE=3 SV=1"
"148","ADP-ribosylation_factor_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310031000 PE=3 SV=1"
"149","ADP-ribosylation_factor_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310036600 PE=3 SV=1"
"150","ADP-ribosylation_factor_GTPase_activating_protein_1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320018000 PE=4 SV=1"
"151","ADP-ribosylation_factor-like_protein_3A_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290014400 PE=3 SV=1"
"152","AGC_family_serine/threonine_kinase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250030600 PE=3 SV=1"
"153","Agmatinase-like protein OS=Leishmania infantum OX=5671 GN=LINF_230005700 PE=3 SV=1"
"154","AhpC/TSA_family/Thioredoxin-like_-_putative OS=Leishmania infantum OX=5671 GN=LINF_140006800 PE=4 SV=1"
"155","AKAP7_NLS domain-containing protein OS=Leishmania infantum OX=5671 GN=LINJ_24_1080 PE=4 SV=1"
"156","Alanine aminotransferase OS=Leishmania infantum OX=5671 GN=ALAT PE=4 SV=1"
"157","Alanine--glyoxylate transaminase OS=Leishmania infantum OX=5671 GN=LINF_030005300 PE=3 SV=1"
"158","Alanine--tRNA ligase OS=Leishmania infantum OX=5671 GN=LINF_220021600 PE=3 SV=1"
"159","Alba_-_putative OS=Leishmania infantum OX=5671 GN=LINF_130009400 PE=4 SV=1"
"160","Alba_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340031800 PE=4 SV=1"
"161","Alcohol_dehydrogenase_GroES-like_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_040008000 PE=4 SV=1"
"162","Aldehyde dehydrogenase OS=Leishmania infantum OX=5671 GN=LINF_360061300 PE=3 SV=1"
"163","Aldehyde dehydrogenase, mitochondrial OS=Leishmania infantum OX=5671 GN=ALDH2 PE=3 SV=1"
"164","Aldehyde_dehydrogenase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300034400 PE=3 SV=1"
"165","Aldehyde_reductase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310037500 PE=4 SV=1"
"166","Aldose 1-epimerase-like protein OS=Leishmania infantum OX=5671 GN=LINF_230009500 PE=4 SV=1"
"167","Aldose_1-epimerase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350014400 PE=4 SV=1"
"168","Alkyldihydroxyacetonephosphate synthase OS=Leishmania infantum OX=5671 GN=ADS1 PE=4 SV=1"
"169","Alpha/beta_hydrolase_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_110014100 PE=3 SV=1"
"170","Alpha/beta_hydrolase_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_130016400 PE=4 SV=1"
"171","Alpha/beta_hydrolase_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260020200 PE=4 SV=1"
"172","Alpha/beta_hydrolase_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340049000 PE=4 SV=1"
"173","Alpha/beta-hydrolase-like protein OS=Leishmania infantum OX=5671 GN=LINF_010009600 PE=1 SV=1"
"174","Amastin_surface_glycoprotein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_080011600 PE=4 SV=1"
"175","Amastin-like surface protein-like protein OS=Leishmania infantum OX=5671 GN=LINF_300014300 PE=4 SV=1"
"176","Amidase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_160019400 PE=4 SV=1"
"177","Amidinotransferase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340041600 PE=4 SV=1"
"178","Amidohydrolase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_200022000 PE=4 SV=1"
"179","Amidohydrolase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300019400 PE=4 SV=1"
"180","Amidohydrolase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310017700 PE=4 SV=1"
"181","Amino acid permease 3 OS=Leishmania infantum OX=5671 GN=AAP3 PE=4 SV=1"
"182","Amino acid permease OS=Leishmania infantum OX=5671 GN=AAT8.4 PE=4 SV=2"
"183","Amino_acid_transporter_19_-_putative OS=Leishmania infantum OX=5671 GN=AAT19 PE=4 SV=1"
"184","Amino_acid_transporter_aATP11_-_putative OS=Leishmania infantum OX=5671 GN=AAT1.1 PE=4 SV=1"
"185","Amino_acid_transporter_aATP11_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270012700 PE=4 SV=1"
"186","Aminoacyl-tRNA hydrolase OS=Leishmania infantum OX=5671 GN=LINJ_06_0940 PE=4 SV=1"
"187","Aminoacyl-tRNA_editing_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_030012100 PE=4 SV=1"
"188","Aminomethyltransferase_folate-binding_domain /Glycine_cleavage_T-protein_C-terminal_barrel_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_240023400 PE=4 SV=1"
"189","Aminopeptidase OS=Leishmania infantum OX=5671 GN=LINF_260008000 PE=3 SV=1"
"190","Aminopeptidase OS=Leishmania infantum OX=5671 GN=LINF_290030100 PE=3 SV=1"
"191","Aminopeptidase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_110012000 PE=3 SV=1"
"192","Aminopeptidase_P_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350028800 PE=3 SV=1"
"193","Aminopeptidase_P1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_020005300 PE=3 SV=2"
"194","Aminotransferase_class_IV_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340029500 PE=4 SV=1"
"195","AMMECR1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320011600 PE=4 SV=1"
"196","AMP_deaminase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_130014700 PE=3 SV=2"
"197","AMP-activated_protein_kinase_-_gamma_regulatory_subunit OS=Leishmania infantum OX=5671 GN=LINF_350012200 PE=4 SV=1"
"198","AMP-binding_enzyme_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300010900 PE=4 SV=1"
"199","Ankyrin/TPR repeat protein OS=Leishmania infantum OX=5671 GN=LINF_240006100 PE=4 SV=1"
"200","Ankyrin_repeats_(3_copies)/Ankyrin_repeats_(Many_ copies)/Ankyrin_repeat_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290016900 PE=4 SV=1"
"201","AP-1 complex subunit gamma OS=Leishmania infantum OX=5671 GN=LINF_340047500 PE=3 SV=1"
"202","Archaic_translocase_of_outer_membrane_12_kDa_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_100016500 PE=4 SV=2"
"203","Archaic_translocase_outer_mitochondrial_membrane_ 46_kDa_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_280014900 PE=4 SV=1"
"204","Archaic_translocase_outer_mitochondrial_membrane_40_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350054200 PE=4 SV=1"
"205","Arginase OS=Leishmania infantum OX=5671 GN=LINF_350019900 PE=3 SV=1"
"206","Arginine N-methyltransferase-like protein OS=Leishmania infantum OX=5671 GN=LINF_120016900 PE=4 SV=1"
"207","Arginine_N-methyltransferase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_030010800 PE=4 SV=1"
"208","Arginyl-tRNA synthetase OS=Leishmania infantum OX=5671 GN=LINF_270019800 PE=3 SV=1"
"209","Armadillo/beta-catenin-like_repeat_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320006400 PE=4 SV=1"
"210","ARM-like_helical_domain-containing_protein OS=Leishmania infantum OX=5671 GN=LINF_310029900 PE=4 SV=1"
"211","Ascorbate_peroxidase OS=Leishmania infantum OX=5671 GN=APX PE=3 SV=1"
"212","Asparagine--tRNA ligase OS=Leishmania infantum OX=5671 GN=LINJ_34_2110 PE=3 SV=1"
"213","Aspartate carbamoyltransferase OS=Leishmania infantum OX=5671 GN=LINF_160010500 PE=3 SV=1"
"214","Aspartate transaminase OS=Leishmania infantum OX=5671 GN=asat PE=3 SV=1"
"215","Aspartate transaminase OS=Leishmania infantum OX=5671 GN=LINF_240008500 PE=3 SV=1"
"216","Aspartate--ammonia_ligase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260013200 PE=4 SV=1"
"217","Aspartyl_aminopeptidase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290031300 PE=3 SV=1"
"218","Aspartyl-tRNA synthetase OS=Leishmania infantum OX=5671 GN=LINF_300009700 PE=3 SV=1"
"219","ATP binding protein-like protein OS=Leishmania infantum OX=5671 GN=LINF_320037000 PE=3 SV=1"
"220","ATP pyrophosphate-lyase OS=Leishmania infantum OX=5671 GN=RAC-A PE=4 SV=1"
"221","ATP pyrophosphate-lyase OS=Leishmania infantum OX=5671 GN=RAC-B2 PE=4 SV=1"
"222","ATP synthase subunit beta OS=Leishmania infantum OX=5671 GN=LINF_250017900 PE=3 SV=1"
"223","ATP_synthase_-_epsilon_chain_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300041800 PE=3 SV=1"
"224","ATP_synthase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360039100 PE=3 SV=1"
"225","ATP_synthase_delta_(OSCP)_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360079400 PE=4 SV=1"
"226","ATP_synthase_F1_-_alpha_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_050010000 PE=3 SV=2"
"227","ATP_synthase_F1_subunit_gamma_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210027500 PE=3 SV=1"
"228","ATPase ASNA1 homolog OS=Leishmania infantum OX=5671 GN=LinJ11.0710 PE=3 SV=1"
"229","ATPase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_050015900 PE=3 SV=1"
"230","ATPase_family_associated_with_various_cellular_ac tivities_(AAA)/AAA_domain_(Dynein-related_subfamily)_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330019600 PE=4 SV=1"
