Proteins,Eliot PAR,Clov PAR,Tato PAR,Samo PAR,Flash PAR,Gus 2 PAR, Fritz 2 PAR,Tessa 2 PAR,Fritz 1 PAR,Tessa 1 PAR,Gus 1 PAR
60S ribosomal protein L37a OS=Leishmania infantum OX=5671 GN=LINF_210028000 PE=3 SV=1,9,5,3,3,7,6,7,3,6,3,4
60S ribosomal protein L40 OS=Leishmania infantum OX=5671 GN=LINF_360011600 PE=3 SV=1,11,19,13,15,11,11,15,10,15,14,10
60S ribosomal protein L6 OS=Leishmania infantum OX=5671 GN=LINF_150018200 PE=3 SV=1,39,46,32,37,41,37,40,47,42,33,34
60S ribosomal protein L7a OS=Leishmania infantum OX=5671 GN=LINJ_07_0560 PE=3 SV=1,14,23,17,19,18,26,24,21,19,18,21
60S_acidic_ribosomal_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_150009100 PE=3 SV=1,28,34,33,28,29,32,32,30,28,29,29
60S_acidic_ribosomal_protein_P2_-_putative OS=Leishmania infantum OX=5671 GN=LINF_030009100 PE=3 SV=1,6,2,3,4,4,6,6,8,6,5,2
60S_acidic_ribosomal_protein_P2_-_putative OS=Leishmania infantum OX=5671 GN=LIP1 PE=3 SV=1,13,20,12,12,13,9,21,15,17,15,12
60S_ribosomal_protein_L10_-_putative OS=Leishmania infantum OX=5671 GN=LINF_040012600 PE=4 SV=1,20,19,17,27,17,21,23,25,17,19,15
60S_ribosomal_protein_L10a_-_putative OS=Leishmania infantum OX=5671 GN=RPL10a PE=3 SV=1,14,32,19,30,18,25,24,22,16,20,21
60S_ribosomal_protein_L12_-_putative OS=Leishmania infantum OX=5671 GN=LINF_240028300 PE=3 SV=1,17,12,10,14,18,18,18,18,13,13,12
60S_ribosomal_protein_L13_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290032300 PE=3 SV=1,47,57,49,53,55,51,53,55,49,51,44
60S_ribosomal_protein_L13a_-_putative OS=Leishmania infantum OX=5671 GN=LINF_150007100 PE=3 SV=1,17,22,16,27,22,20,19,28,21,18,19
60S_ribosomal_protein_L17_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320009400 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
60S_ribosomal_protein_L18_-_putative OS=Leishmania infantum OX=5671 GN=RPL18 PE=3 SV=1,62,67,57,50,57,59,70,60,59,57,60
60S_ribosomal_protein_L2_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320046200 PE=4 SV=1,45,54,39,49,44,46,55,34,34,47,31
60S_ribosomal_protein_L22_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360041100 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
60S_ribosomal_protein_L23_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350043300 PE=3 SV=1,24,27,23,21,17,27,32,29,21,19,21
60S_ribosomal_protein_L23a_-_putative OS=Leishmania infantum OX=5671 GN=LINF_060011300 PE=3 SV=1,6,12,5,10,7,11,15,15,9,11,11
60S_ribosomal_protein_L23a_-_putative OS=Leishmania infantum OX=5671 GN=LINF_060011400 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
60S_ribosomal_protein_L26_-_putative OS=Leishmania infantum OX=5671 GN=LINF_240026700 PE=3 SV=1,8,19,11,12,10,12,9,13,9,14,10
60S_ribosomal_protein_L27A/L29_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350043000 PE=3 SV=1,23,26,22,21,22,27,24,17,19,22,21
60S_ribosomal_protein_L28_-_putative OS=Leishmania infantum OX=5671 GN=LINF_110017300 PE=3 SV=1,32,28,26,20,26,30,21,22,25,26,21
60S_ribosomal_protein_L34_-_putative OS=Leishmania infantum OX=5671 GN=LINF_180019400 PE=3 SV=1,16,12,9,13,8,8,11,10,6,15,9
60S_ribosomal_protein_L35_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260028800 PE=3 SV=1,8,12,7,8,7,6,7,8,8,8,7
60S_ribosomal_protein_L36_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350024100 PE=3 SV=1,8,11,7,9,5,6,8,10,14,13,8
60S_ribosomal_protein_L44_-_putative OS=Leishmania infantum OX=5671 GN=LINF_130022200 PE=3 SV=1,17,64,45,44,11,15,12,7,11,13,5
60S_ribosomal_protein_L5_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350023700 PE=3 SV=1,25,67,60,78,39,25,39,24,29,23,20
60S_ribosomal_protein_L7_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260006700 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
60S_ribosomal_protein_L9_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300039100 PE=3 SV=2,30,31,23,33,31,33,49,33,27,22,21
"6-phosphogluconate dehydrogenase, decarboxylating OS=Leishmania infantum OX=5671 GN=gnd PE=3 SV=1",66,50,84,47,84,62,71,77,79,58,81
6-phosphogluconolactonase OS=Leishmania infantum OX=5671 GN=LINF_260032900 PE=3 SV=1,25,25,25,23,22,28,23,22,25,22,38
AAA_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300017800 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
ABC_transport_system_ATP-binding_protein_-_putative OS=Leishmania infantum OX=5671 GN=putative ABCF2 PE=4 SV=1,8,12,8,4,9,7,9,7,9,7,6
ABC_transporter_-_mitochondrial_-_putative OS=Leishmania infantum OX=5671 GN=putative ABCB1 PE=4 SV=1,12,12,8,16,10,7,7,9,10,14,11
ABC1_family/Phosphotransferase_enzyme_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360070800 PE=3 SV=1,1,1,0,3,0,0,1,1,1,3,1
ABC1_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_080007300 PE=4 SV=1,3,2,1,2,7,1,1,0,2,4,1
Acetoin dehydrogenase e3 component-like protein OS=Leishmania infantum OX=5671 GN=LINF_310034600 PE=3 SV=1,8,4,9,2,3,16,7,8,14,6,16
Acetyl-CoA carboxylase OS=Leishmania infantum OX=5671 GN=LINF_310038500 PE=4 SV=1,55,73,86,49,56,43,77,41,55,61,53
Acetyl-coenzyme A synthetase OS=Leishmania infantum OX=5671 GN=LINF_230014800 PE=3 SV=1,141,117,63,81,62,74,113,37,69,115,86
Acetylornithine deacetylase OS=Leishmania infantum OX=5671 GN=LINF_070007900 PE=3 SV=1,8,9,11,8,9,7,10,9,18,13,6
Acetyltransferase_(GNAT)_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_220010000 PE=4 SV=1,4,3,4,2,3,1,4,4,4,2,2
Acetyltransferase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_030006100 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Acetyltransferase-like protein OS=Leishmania infantum OX=5671 GN=LINF_360035400 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
Acid_Phosphatase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330030500 PE=4 SV=1,2,1,1,2,3,2,3,1,2,1,2
Acidocalcisomal_exopolyphosphatase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_010008000 PE=4 SV=1,4,8,4,2,6,3,6,4,14,7,14
Aconitate hydratase OS=Leishmania infantum OX=5671 GN=LINF_180010100 PE=3 SV=1,170,180,201,178,188,149,203,154,272,165,137
Actin interacting protein-like protein OS=Leishmania infantum OX=5671 GN=LINF_230015900 PE=4 SV=1,19,11,5,4,10,5,6,3,8,16,7
Actin OS=Leishmania infantum OX=5671 GN=ACT PE=3 SV=1,73,81,67,58,81,105,81,116,155,78,91
Activator_of_Hsp90_ATPase_-_N-terminal/Activator_of_Hsp90_ATPase_homolog_1-like_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_180007100 PE=3 SV=1,41,64,50,63,63,24,67,24,79,55,29
Acyl_CoA_binding_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_170012700 PE=4 SV=1,3,7,4,6,3,7,5,6,9,6,7
Acyl_transferase-like_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350040100 PE=4 SV=2,1,3,1,1,3,1,1,1,2,1,1
Acyl-CoA_dehydrogenase_-_mitochondrial_precursor_-_putative OS=Leishmania infantum OX=5671 GN=LINF_070010000 PE=4 SV=1,8,8,7,14,7,5,6,7,11,11,5
Acyl-CoA_dehydrogenase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_280032300 PE=3 SV=1,23,35,33,23,24,25,20,39,29,30,42
Acyl-CoA_dehydrogenase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350032600 PE=3 SV=1,10,11,12,3,12,7,11,14,16,12,10
Acyl-CoA_oxidase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270030200 PE=3 SV=1,1,3,0,0,1,0,1,0,2,2,1
Acyl-coenzyme_a_dehydrogenase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_060014500 PE=3 SV=1,2,0,1,0,0,1,1,2,22,1,1
"Acyltransferase-like protein, copy 1 OS=Leishmania infantum OX=5671 GN=LINF_040015500 PE=4 SV=1",9,6,5,7,6,9,7,7,8,7,10
Adaptin-related protein-like protein OS=Leishmania infantum OX=5671 GN=LINF_110015900 PE=3 SV=1,2,3,1,5,4,2,2,3,8,6,7
Adenine aminohydrolase OS=Leishmania infantum OX=5671 GN=AAH PE=3 SV=1,3,5,7,10,25,9,7,19,4,4,8
Adenine phosphoribosyltransferase OS=Leishmania infantum OX=5671 GN=APRT PE=4 SV=1,15,12,11,13,16,15,13,9,13,9,11
Adenosine kinase OS=Leishmania infantum OX=5671 GN=LINF_300014400 PE=3 SV=1,45,51,43,48,46,43,56,40,52,41,40
Adenosine kinase OS=Leishmania infantum OX=5671 GN=LINF_340043400 PE=3 SV=1,0,0,1,0,1,1,1,2,1,0,1
Adenosylhomocysteinase OS=Leishmania infantum OX=5671 GN=LINF_360048000 PE=3 SV=1,167,132,128,123,134,138,148,138,168,111,160
Adenylate kinase 2 OS=Leishmania infantum OX=5671 GN=LINF_340006200 PE=3 SV=1,5,3,5,5,3,5,3,5,6,5,5
Adenylate_kinase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_040014600 PE=3 SV=1,7,9,5,3,7,9,5,13,20,5,16
Adenylate_kinase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210020600 PE=3 SV=1,30,30,35,22,26,20,33,28,41,30,27
Adenylate_kinase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340006100 PE=3 SV=1,6,8,6,11,6,23,11,15,15,9,13
Adenylosuccinate lyase OS=Leishmania infantum OX=5671 GN=LINF_040009600 PE=3 SV=1,3,4,5,6,13,21,4,14,7,4,12
Adenylosuccinate synthetase OS=Leishmania infantum OX=5671 GN=LinJ13.1120 PE=3 SV=1,44,33,47,21,33,27,37,32,41,45,36
Adenylyl_cyclase-associated_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360065600 PE=3 SV=1,4,3,2,2,4,1,2,7,8,5,5
ADF/Cofilin OS=Leishmania infantum OX=5671 GN=LINF_290010100 PE=3 SV=1,22,20,24,20,25,26,25,24,33,26,23
"ADP,ATP carrier protein 1, mitochondrial OS=Leishmania infantum OX=5671 GN=ANC2 PE=3 SV=1",99,92,70,96,88,109,114,90,130,73,102
ADP/ATP mitochondrial carrier-like protein OS=Leishmania infantum OX=5671 GN=LINF_140016000 PE=3 SV=1,16,17,16,17,20,4,26,10,11,18,8
ADP-ribosylation factor-like protein 1 OS=Leishmania infantum OX=5671 GN=ARL-1 PE=3 SV=1,2,3,2,2,3,2,1,3,3,2,2
ADP-ribosylation factor-like protein 6 OS=Leishmania infantum OX=5671 GN=LINF_160019600 PE=3 SV=1,1,1,2,0,1,1,1,2,1,1,1
ADP-ribosylation factor-like protein OS=Leishmania infantum OX=5671 GN=LINF_300029100 PE=3 SV=1,1,6,3,0,2,6,8,6,4,4,7
ADP-ribosylation_factor_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310031000 PE=3 SV=1,17,14,16,7,19,11,13,11,15,17,14
ADP-ribosylation_factor_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310036600 PE=3 SV=1,22,18,26,18,29,22,23,24,23,20,21
ADP-ribosylation_factor_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260027200 PE=4 SV=1,3,0,2,1,0,0,2,0,2,1,2
ADP-ribosylation_factor_GTPase_activating_protein_1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320018000 PE=4 SV=1,1,4,6,2,4,1,10,3,5,4,1
ADP-ribosylation_factor-like_protein_3A_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290014400 PE=3 SV=1,21,25,25,19,26,23,23,31,31,28,33
AGC_family_serine/threonine_kinase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250030600 PE=3 SV=1,38,17,18,15,24,19,25,27,23,19,25
Agmatinase-like protein OS=Leishmania infantum OX=5671 GN=LINF_230005700 PE=3 SV=1,3,1,0,1,1,4,1,2,3,3,1
AhpC/TSA_family/Thioredoxin-like_-_putative OS=Leishmania infantum OX=5671 GN=LINF_140006800 PE=4 SV=1,32,40,32,36,39,33,48,32,46,33,31
AKAP7_NLS domain-containing protein OS=Leishmania infantum OX=5671 GN=LINJ_24_1080 PE=4 SV=1,3,2,3,2,5,1,3,0,2,3,2
Alanine aminotransferase OS=Leishmania infantum OX=5671 GN=ALAT PE=4 SV=1,11,13,21,27,15,6,19,11,40,19,6
Alanine--glyoxylate transaminase OS=Leishmania infantum OX=5671 GN=LINF_030005300 PE=3 SV=1,6,3,3,4,3,5,1,4,2,4,7
Alanine--tRNA ligase OS=Leishmania infantum OX=5671 GN=LINF_220021600 PE=3 SV=1,61,86,78,52,67,49,115,41,82,57,57
